Datos Coronavirus Colombia
Fecha (aaaa-mm-dd): 2020-03-24
Total casos: 378

Sexo:Casos
F:182
M:196

Tipo*:Casos
En estudio:23
Importado:237
Relacionado:118

TOP 10
País de procedencia:Casos
España:112
Estados Unidos:53
Ecuador:15
Turquía:7
Italia:5
Reino Unido:4
España - Italia:4
Panamá:3
Turquía - Grecia:2
Francia:2

TOP 10
Ciudad de ubicación:Casos
Bogotá:119
Cali:46
Medellín:35
Cartagena:21
Neiva:13
Pereira:13
Palmira:11
Barranquilla:9
Cúcuta:9
Ibagué:7

(TOP 10 - Incluye Distrito Capital)
Departamento:Casos
Bogotá:120
Valle:66
Antioquia:52
Cundinamarca:21
Cartagena:21
Risaralda:17
Huila:14
Norte de Santander:11
Caldas:9
Barranquilla:9
