Datos Coronavirus Colombia
Fecha (aaaa-mm-dd): 2020-03-23
Total casos: 277

Sexo:Casos
F:133
M:144

Tipo*:Casos
En estudio:15
Importado:175
Relacionado:87

TOP 10
País de procedencia:Casos
España:87
Estados Unidos:35
Ecuador:7
Italia:5
México:2
Francia:2
España-Italia:2
España - Italia:2
Grecia:2
República Dominicana:2

TOP 10
Ciudad de ubicación:Casos
Bogotá:112
Medellín:29
Cali:20
Cartagena:16
Pereira:10
Neiva:10
Palmira:9
Cúcuta:7
Barranquilla:7
Armenia:5

(TOP 10 - Incluye Distrito Capital)
Departamento:Casos
Bogotá:113
Antioquia:40
Valle:31
Cartagena:16
Risaralda:13
Cundinamarca:12
Huila:10
Norte de Santander:8
Barranquilla:7
Quindío:6
