Fecha (aaaa-mm-dd): 2020-03-23
Total casos: 237

Sexo:Casos
F:112
M:119

Tipo*:Casos
En estudio:7
Importado:146
Relacionado:78

País de procedencia:Casos
España:72
Estados Unidos:30
Ecuador:6
Italia:5
Francia:2
México:2
España - Italia:2
Grecia:2
España-Italia:2
Alemania-Estambul:1

Ciudad de ubicación:Casos
Bogotá:87
Cali:20
Medellín:19
Cartagena:14
Pereira:10
Neiva:10
Palmira:9
Cúcuta:7
Barranquilla:7
Armenia:5

(Incluye Distrito Capital)
Departamento:Casos
Bogotá:87
Valle:31
Antioquia:25
Bolívar:14
Risaralda:13
Huila:10
Cundinamarca:9
Norte de Santander:8
Atlántico:7
Quindío:6
